Sistema de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema Eléctrico Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generación Bruta de CFE mas PIE´s por Entidad Federativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(megawatts-hora),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENE/2002,FEB/2002,MAR/2002,ABR/2002,MAY/2002,JUN/2002,JUL/2002,AGO/2002,SEP/2002,OCT/2002,NOV/2002,DIC/2002,ENE/2003,FEB/2003,MAR/2003,ABR/2003,MAY/2003,JUN/2003,JUL/2003,AGO/2003,SEP/2003,OCT/2003,NOV/2003,DIC/2003,ENE/2004,FEB/2004,MAR/2004,ABR/2004,MAY/2004,JUN/2004,JUL/2004,AGO/2004,SEP/2004,OCT/2004,NOV/2004,DIC/2004,ENE/2005,FEB/2005,MAR/2005,ABR/2005,MAY/2005,JUN/2005,JUL/2005,AGO/2005,SEP/2005,OCT/2005,NOV/2005,DIC/2005,ENE/2006,FEB/2006,MAR/2006,ABR/2006,MAY/2006,JUN/2006,JUL/2006,AGO/2006,SEP/2006,OCT/2006,NOV/2006,DIC/2006,ENE/2007,FEB/2007,MAR/2007,ABR/2007,MAY/2007,JUN/2007,JUL/2007,AGO/2007,SEP/2007,OCT/2007,NOV/2007,DIC/2007,ENE/2008,FEB/2008,MAR/2008,ABR/2008,MAY/2008,JUN/2008,JUL/2008,AGO/2008,SEP/2008,OCT/2008,NOV/2008,DIC/2008,ENE/2009,FEB/2009,MAR/2009,ABR/2009,MAY/2009,JUN/2009,JUL/2009,AGO/2009,SEP/2009,OCT/2009,NOV/2009,DIC/2009,ENE/2010,FEB/2010,MAR/2010,ABR/2010,MAY/2010,JUN/2010,JUL/2010,AGO/2010,SEP/2010,OCT/2010,NOV/2010,DIC/2010,ENE/2011,FEB/2011,MAR/2011,ABR/2011,MAY/2011,JUN/2011,JUL/2011,AGO/2011,SEP/2011,OCT/2011,NOV/2011,DIC/2011,ENE/2012,FEB/2012,MAR/2012,ABR/2012,MAY/2012,JUN/2012,JUL/2012,AGO/2012,SEP/2012,OCT/2012,NOV/2012,DIC/2012,ENE/2013,FEB/2013,MAR/2013,ABR/2013,MAY/2013,JUN/2013,JUL/2013,AGO/2013,SEP/2013,OCT/2013,NOV/2013,DIC/2013,ENE/2014,FEB/2014,MAR/2014,ABR/2014,MAY/2014,JUN/2014,JUL/2014,AGO/2014,SEP/2014,OCT/2014,NOV/2014,DIC/2014,ENE/2015,FEB/2015,MAR/2015,ABR/2015,MAY/2015,JUN/2015,JUL/2015,AGO/2015,SEP/2015,OCT/2015,NOV/2015,DIC/2015,ENE/2016,FEB/2016,MAR/2016,ABR/2016,MAY/2016,JUN/2016,JUL/2016,AGO/2016,SEP/2016,OCT/2016,NOV/2016,DIC/2016,ENE/2017,FEB/2017,MAR/2017,ABR/2017,MAY/2017,JUN/2017,JUL/2017,AGO/2017,SEP/2017,OCT/2017,NOV/2017,DIC/2017,ENE/2018,FEB/2018,MAR/2018,ABR/2018,MAY/2018,JUN/2018,JUL/2018,AGO/2018,SEP/2018,OCT/2018,NOV/2018,DIC/2018,ENE/2019,FEB/2019,MAR/2019,ABR/2019,MAY/2019,JUN/2019,JUL/2019,AGO/2019,SEP/2019,OCT/2019,NOV/2019,DIC/2019,ENE/2020,FEB/2020,MAR/2020,ABR/2020,MAY/2020,JUN/2020,JUL/2020,AGO/2020,SEP/2020,OCT/2020,NOV/2020,DIC/2020,ENE/2021,FEB/2021,MAR/2021,ABR/2021,MAY/2021,JUN/2021,JUL/2021,AGO/2021,SEP/2021,OCT/2021,NOV/2021,DIC/2021,ENE/2022,FEB/2022,MAR/2022,ABR/2022,MAY/2022,JUN/2022,JUL/2022,AGO/2022,SEP/2022,OCT/2022,NOV/2022,DIC/2022,ENE/2023,FEB/2023,MAR/2023,ABR/2023,MAY/2023,JUN/2023,JUL/2023,AGO/2023,SEP/2023,OCT/2023,NOV/2023,DIC/2023,ENE/2024,FEB/2024,MAR/2024,ABR/2024,MAY/2024,JUN/2024,JUL/2024,AGO/2024,SEP/2024,OCT/2024,NOV/2024,DIC/2024,ENE/2025,FEB/2025,MAR/2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,15676720.549,14335773.052,16075959.587,16843034.929,18125059.588,17646380.497,17819401.563,18329844.456,17129323.011,17202489.761,15477308.513,15701000.319,15964122.452,14861147.341,17045175.564,16451059.929,18495378.439,17850337.105,18279429.317,18189458.294,16966790.568,16922372.817,15713521.857,15856757.006,15948433.863,15087062.082,17270864.745,16542988.918,18052435.045,18122018.002,18757854.783,18991553.666,17664217.703,17847342.437,16258573.637,16475532.753,16498369.800,15577533.100,17328905.940,18013164.310,19043406.460,19636402.140,19747029.100,19654317.000,19001532.900,18446725.270,17095312.730,17116079.320,17277980.739,16160277.444,18566620.777,18023323.158,19772212.433,20001997.680,20280085.245,20265420.777,18976703.847,19105510.834,17558004.691,17575373.911,18035034.585,16404432.215,19218710.273,18234896.637,20397600.442,20550472.469,20772986.390,21131572.960,19857662.474,19915606.485,18237474.708,18170189.289,18501551.444,17913882.193,18978377.910,19915427.860,21300754.326,21272650.537,20976170.713,21310674.811,19621740.039,19495224.322,17560990.808,17248847.499,17503529.050,16351190.880,18800177.490,18606123.970,20294424.740,20733224.490,22079729.240,22200642.680,20300710.990,20302722.550,17979438.100,18319723.560,18312456.325,16531140.991,19284173.077,19528763.016,21814996.658,22296827.646,21838669.783,22738800.526,21286167.734,20386534.952,18728073.381,18744290.745,19308022.360,18101256.185,21209212.066,21338971.949,23229078.450,23476260.442,23421389.869,24405378.604,22621766.139,21539044.297,19658014.755,18523997.148,19864919.406,18923771.619,21381293.338,21053860.091,23977892.355,23934998.619,23433441.677,24447819.467,22511922.467,21958856.417,19556074.468,19452982.202,19778173.753,18530377.713,20330378.187,21728923.566,23216534.994,23737893.671,23727307.620,24520036.877,22097893.460,21712529.235,19385535.539,19094522.403,19155014.955,18415304.038,21294727.987,21365300.462,23056256.336,23950644.999,24098958.122,24358486.807,22387179.584,22050810.295,19062741.046,19060349.690,19424558.089,18128966.279,20771248.057,21653903.161,23199865.074,23427437.403,24216085.514,25151024.403,23625524.203,22541954.906,19559958.093,19109053.002,18928431.799,18649019.700,20902198.663,22241534.379,24226008.233,24374455.512,24879650.060,24483842.020,22911710.787,22159238.235,19278550.488,18699761.566,18934350.337,17874825.076,20894857.586,21124216.775,23893683.756,24354523.732,23687641.517,24764988.532,22381106.705,21689612.185,19486491.926,18330948.148,18819184.608,18402846.882,20942746.164,21246890.391,24147864.010,24350220.537,24597923.625,24751272.103,22694188.612,21508538.957,19376021.860,17847094.704,18227422.327,18204025.896,20248229.647,20282214.026,23332850.913,23511318.494,24011948.285,24960826.447,22060471.453,20674652.368,17785278.453,17095334.031,17658364.197,16845538.217,19151628.622,17119535.621,18669410.538,19912470.133,21323040.100,22210538.878,20024508.027,19567687.265,16591101.922,15499676.349,15690027.527,15628088.826,17290102.788,18373046.647,20518504.812,21509554.708,21005836.400,21370262.266,20543680.404,19540509.092,15898538.762,16795331.884,17240848.358,16242572.646,18353106.507,19712912.561,22796557.000,22285167.000,22872447.000,22790295.000,20833774.000,19664377.000,17584602.000,17716411.000,18647586.000,16724661.000,19931708.000,19986181.000,22549702.000,24532622.000,24943516.000,25128325.000,23651572.000,21589277.650,18168085.790,17352166.000,18549865.775,17366306.111,19698234.307,20525533.049,25238765.486,24763376.430,24390753.546,25129256.452,23618783.609,21726948.415,18909863.553,17845719.719,19132326.828,18084375.925,20303549.211
Baja California,664241.900,590543.420,645721.460,684487.630,767037.110,891160.240,944762.700,912793.440,856155.540,755818.390,731388.688,716690.162,746678.847,694295.303,750729.416,753794.330,820470.089,915659.608,1094931.377,1096384.168,990914.022,950147.194,831598.580,887259.794,845069.101,805079.828,874933.335,798762.798,903310.890,949964.482,1098433.742,1109323.308,999283.780,928393.067,843140.405,808540.917,820646.250,795704.870,879358.080,897725.800,941408.640,972730.180,1167067.760,1173942.100,1043592.430,963585.210,881559.630,866568.080,824982.686,737252.215,848588.006,793300.157,912601.224,1022166.465,1104786.387,1100155.415,1022632.963,951600.075,911880.225,911335.404,929447.342,810578.842,895077.877,872055.540,974717.284,1019667.659,1187564.147,1224985.752,1049147.001,950321.148,938657.770,943418.912,930138.356,867605.754,914686.010,870898.598,956892.384,1121162.747,1175380.090,1206796.853,1087899.897,964080.071,848312.673,854631.432,871240.120,779656.060,847928.190,812683.170,929430.180,982607.130,1251856.760,1231583.370,1143220.820,934575.750,844431.100,849788.490,873193.999,793243.355,871591.088,785727.001,870490.271,1018504.823,1210946.175,1214077.891,1084907.635,940333.298,865317.360,866979.811,866958.701,791695.350,869045.354,821249.244,894858.889,1024233.359,1245806.020,1309745.010,1114674.112,944890.923,859450.862,865826.200,871969.673,836216.079,883788.375,863017.960,1019960.954,1127504.580,1220960.520,1295617.400,1185515.569,988289.320,854114.858,846762.114,863321.265,764320.461,904909.251,917783.837,996449.072,1185100.284,1324097.119,1293681.368,1157205.892,944845.517,852777.997,883771.639,907941.756,811641.005,888584.015,890763.824,1014564.890,1173598.469,1350004.285,1317867.124,1234712.844,1005710.267,873184.215,897789.320,901812.098,828750.999,953253.733,924415.741,957720.713,1175317.800,1303651.949,1423024.316,1272997.265,1109327.564,929464.033,894666.721,917113.689,836340.680,933855.982,940983.742,1014055.186,1257774.972,1321803.917,1303752.212,1101895.306,1048543.620,908089.851,865976.765,878507.075,804441.400,943976.124,963257.527,1004699.629,1122626.557,1331424.916,1345083.601,1073796.429,912368.056,841532.699,776884.359,798516.397,709286.219,790740.263,886051.525,1001921.817,1184829.395,1360409.586,1368931.834,1235033.334,937370.952,827773.871,859552.900,893326.856,811829.778,919450.329,863774.201,923567.858,1135238.168,1305504.938,1322638.488,1162080.047,916528.553,789729.982,849414.521,927680.571,795614.094,811570.670,751511.297,1005051.701,1067760.458,1212355.224,1244549.695,1083158.520,1104939.618,803792.403,841860.260,848837.620,805857.102,862664.223,996947.070,1014972.861,1103304.345,1246602.741,1149805.213,1020363.399,995425.634,889775.111,934548.850,932553.117,823069.595,913229.732,899580.425,1024678.000,1215040.000,1319256.000,1304581.000,1191607.000,1129791.000,901370.000,1053420.000,993040.000,885962.000,1046890.000,1042258.000,1077775.000,1059229.000,1365481.000,1341058.000,1138421.000,1071232.710,888267.350,893583.000,976341.498,952249.551,867506.956,904406.268,1075213.965,1408373.350,1587538.383,1538398.720,1350721.626,1144335.565,864615.910,903674.365,864595.989,811768.193,1001343.599
Baja California Sur,86224.830,77949.080,89429.070,93755.350,112397.330,107802.920,126852.510,133987.150,129182.450,116830.100,100273.690,91800.840,91332.240,80888.090,93739.790,96529.120,111664.200,112538.459,136078.717,138840.305,120147.234,132569.632,108321.373,101294.639,91573.600,88076.493,104946.916,103139.749,120059.023,128211.176,145518.500,156693.707,138737.737,132717.156,108202.109,108727.554,99113.580,89393.960,108156.580,114013.900,123461.960,125126.290,154914.710,170413.250,168558.840,147092.780,127722.030,119152.900,110318.130,101106.580,115105.660,118584.390,134729.810,154301.200,173638.200,179002.560,146630.780,164739.500,140290.420,126826.860,115977.110,110402.220,132347.740,127608.440,143999.520,165681.590,182965.670,202192.370,184341.670,179600.670,149307.110,135180.160,136159.120,128116.310,142507.150,149413.140,162306.390,175691.370,212527.000,215593.450,204680.980,199991.930,167276.400,157129.680,147105.950,134766.930,156312.560,150627.360,169646.740,184895.110,226273.250,232728.270,193001.470,184131.910,159122.350,151856.060,146750.596,134343.163,154825.632,157132.166,174237.376,182505.867,206635.308,233762.060,219483.111,194422.821,164254.371,166318.360,154103.140,140202.702,164280.054,163377.749,180132.973,191166.463,223292.798,243157.998,233711.965,221866.998,169904.286,163641.451,161856.317,150125.598,167825.559,169573.184,188909.457,196685.126,228508.028,241639.005,207281.042,186944.422,204030.718,175376.944,161252.549,150951.482,175222.790,174260.859,193889.293,208427.692,241711.524,257083.717,228747.802,217358.494,183480.076,174861.560,170792.828,159641.735,183328.568,183120.045,213702.176,240671.357,263718.512,264748.424,162760.782,164866.115,125861.119,148506.926,158986.320,150295.975,168998.599,178077.118,194203.530,209146.557,223721.946,238921.315,221090.183,213900.955,194722.745,180784.439,170517.523,171097.810,187580.565,180167.479,200321.641,210223.671,253598.224,256515.067,230269.249,239031.225,211831.773,187101.442,176185.751,159924.095,190466.244,193766.463,202423.195,206226.423,240072.119,262663.247,209833.313,230752.541,195316.519,175690.388,179556.983,165481.600,192676.783,189731.932,217513.126,217502.572,282343.429,275935.234,257582.078,227834.238,193356.046,184939.523,184634.577,165632.809,186090.693,187815.748,183458.032,220641.452,262401.770,271288.109,246440.326,225886.328,190042.398,183381.996,187335.689,179254.641,187446.516,157338.363,174782.939,197261.500,256477.937,267551.583,264331.400,240552.926,179821.605,159818.566,169992.749,149549.681,173976.168,174852.555,197509.441,212683.524,310343.867,287110.199,254727.014,253112.350,202347.657,199121.117,185662.401,159736.606,173419.545,178626.091,207085.000,240433.000,295329.000,297241.000,251120.000,232025.000,171131.000,171892.000,168127.000,150200.000,176615.000,169734.000,189670.000,252148.000,314463.000,306092.000,298707.000,231866.700,190317.380,172345.000,171615.072,175831.256,192694.105,180836.058,201140.937,187686.655,256828.970,280211.512,241820.086,230454.658,158559.623,201059.100,180408.801,152612.501,172922.976
Campeche,76296.240,47930.930,59540.090,66002.160,74046.680,86886.690,81473.810,79672.780,63001.900,57248.900,61040.990,61648.104,52338.896,70544.530,123649.778,90607.896,148773.850,237047.671,240620.564,243757.827,161861.624,235997.767,204159.631,199872.418,213542.372,164318.202,234741.596,229176.172,246536.009,235410.271,241339.528,257452.484,170629.254,112516.455,210692.712,195642.502,218720.020,211890.540,199603.700,215026.280,216516.320,222677.280,190783.870,204973.290,209911.860,183579.210,162128.200,203970.390,227649.014,212940.868,242900.996,222053.443,189553.839,198894.581,193083.228,197705.279,184045.396,93205.312,179533.459,201811.970,169547.073,152463.389,181407.382,176572.538,194050.538,191984.588,202874.533,189894.260,168805.878,190653.480,150493.336,103486.384,185699.144,194966.579,188807.686,165557.015,196552.326,179251.784,216994.776,185785.341,183470.459,197050.559,194692.664,184244.520,218993.470,198618.880,47590.780,48823.220,60403.520,69666.020,71002.340,71140.530,89519.850,226174.490,201978.340,201220.530,165070.194,159231.859,169055.224,202966.830,237341.914,212726.927,226199.746,222366.315,128234.180,104712.091,97295.610,45065.619,144713.145,137637.704,105959.472,177393.252,178135.940,148346.417,136103.925,196759.053,153651.619,138341.443,110075.421,50540.935,114071.784,134656.410,174458.866,138946.821,84144.343,108983.590,83311.735,160767.789,134726.511,139858.604,138781.010,111085.502,134351.708,127446.949,137532.278,121773.917,128541.228,83863.675,150221.059,173353.648,124556.849,119268.713,94494.087,66363.404,61653.229,141737.084,113130.863,69498.979,113475.218,119097.491,82578.568,123392.963,93980.730,131669.927,121452.723,107010.031,106084.167,126493.799,93508.683,68048.134,58245.751,31921.932,56132.900,98897.215,46199.087,89638.881,97919.351,74282.826,57703.620,158574.849,103553.035,86714.048,80414.662,144527.698,180563.170,89180.453,54361.619,99314.569,57524.958,103659.342,60408.121,47572.346,87758.334,100213.499,82409.628,71751.576,44429.644,66191.284,76427.763,40254.155,25063.441,15130.606,14585.532,20219.557,48815.636,48757.765,115453.965,103493.832,125343.289,118925.327,98159.489,114163.674,131203.448,54008.436,24074.822,83970.277,88197.824,129693.709,118094.351,111886.074,98557.890,111007.910,113742.076,41792.423,82111.831,122744.795,115084.064,33934.816,36404.822,50799.976,48810.901,10459.694,2982.229,9142.079,11248.795,18153.472,24308.426,4134.364,4425.526,46720.081,7129.478,66857.802,103847.184,116746.437,65554.622,53960.922,44375.323,76201.684,5606.739,424.821,3078.549,18988.021,28458.881,23756.688,85091.000,26882.000,35036.000,30060.000,23501.000,39264.000,35544.000,15143.000,9006.000,22294.000,115516.000,65657.000,80835.000,112739.000,101882.000,105907.000,127542.000,81638.530,22890.350,26229.000,37534.995,27808.879,52777.294,94307.789,185782.536,132302.235,137918.359,123985.935,137584.396,115567.286,97824.310,32584.941,303.309,95407.067,90467.451
Chiapas,1187596.010,1007405.730,998068.150,1000174.170,1149452.490,1102658.840,928740.170,882173.760,741144.270,1088014.160,675760.720,571381.910,703726.441,640820.506,596537.844,629537.713,813084.522,319031.953,305475.929,280813.299,457555.271,438505.118,263932.178,300964.938,233309.063,202270.660,561385.200,897882.776,1115816.651,919414.627,911250.460,884725.823,641559.395,525085.253,713114.855,636649.465,456931.580,528953.660,474266.070,753184.500,785564.640,721242.770,1091058.120,1478787.300,1309618.910,2149595.270,1317324.510,1241710.140,1108882.470,964600.600,1698919.880,1453983.590,1713886.290,1637290.150,1540524.540,1663976.490,1596425.060,970032.710,1070514.740,858527.950,704704.650,757517.570,1118594.850,984927.430,791111.990,701578.300,725333.380,569218.740,941344.080,912796.260,158767.520,187389.010,284671.760,217764.080,1112840.640,2433203.130,2531842.480,1893622.440,1781794.970,2022689.730,2083614.880,1667009.310,1407917.620,1094277.260,967734.470,993469.350,1220272.770,1335231.000,1003447.340,1153349.300,1297842.270,1172153.330,925560.630,839554.530,406314.900,441055.800,393936.779,330771.702,554123.915,518394.935,626160.759,1013767.752,1730302.593,1908452.973,3060212.399,2640421.729,1955462.810,1152525.351,1297907.446,1228597.540,1366037.324,1505204.804,1534464.400,1432121.691,1418579.056,1721299.675,2078389.827,2131434.542,1831630.992,1582352.215,1576934.847,1561327.224,1624910.748,1628827.831,1901932.203,1659527.949,1310406.813,1708454.066,1181108.880,1035099.634,776165.092,833669.669,374511.618,468089.806,605348.016,946122.890,857281.592,955687.859,1181951.754,1199763.438,1428162.185,1537339.371,1181414.585,1104266.709,1472591.931,1715060.964,1855700.359,1713997.230,1592531.459,1853039.124,2189779.710,1637824.032,1067880.212,856981.567,945609.412,1053594.812,856288.588,918142.978,1137464.094,1651102.681,1929704.746,1348077.313,698033.110,610782.275,766638.783,559654.937,432807.762,443460.637,461256.522,740950.566,1148531.309,1395016.837,1523073.367,1156368.662,1034308.282,1164388.095,816999.865,464756.174,230049.237,304917.137,278500.123,537263.786,724285.651,1031005.109,1628753.191,1724404.970,974821.135,960859.589,915951.341,768962.133,897493.636,505632.417,638792.114,683343.425,997672.603,1288227.359,2030324.266,2019672.694,1360502.940,992697.483,567554.718,492031.300,312055.740,261646.828,248989.121,302976.485,275280.888,575252.113,1054976.330,910082.126,958078.085,964048.660,605698.627,504046.586,382494.548,296458.416,319708.123,281260.574,404804.595,641099.540,1076454.357,1171340.566,1444609.954,1295927.313,939614.037,784577.283,672903.640,812828.737,1128996.797,1071017.687,1429136.343,1756327.116,1738744.044,1416046.827,1212708.043,963165.507,838557.881,813973.789,789574.353,687608.878,584004.969,487862.651,815168.077,1081043.379,1713078.000,1965197.000,1231432.000,1718993.000,1508031.000,1846032.000,1752250.000,1041587.000,595852.000,437834.000,649289.000,916126.000,1042963.000,1258211.000,927725.000,972429.000,1038339.000,862566.980,433084.070,307291.000,369472.400,338360.469,498260.453,778653.708,1253288.126,1110542.701,703303.311,650651.509,705733.717,593466.380,665451.065,489507.248,515602.616,525206.442,829008.575
Chihuahua,846701.800,744270.070,860779.930,819578.800,994225.880,978423.550,900764.910,1036186.400,970016.170,831017.070,691427.070,715608.930,682920.769,626503.323,754065.480,739601.954,975213.214,961601.089,1058192.333,1043736.734,893101.440,847843.116,756680.287,743753.372,730992.713,681274.331,843159.991,761555.351,984442.493,1083231.478,1130491.823,1087105.998,994433.185,818042.451,725398.966,754274.807,836891.920,756232.140,848479.460,799843.220,976434.300,934512.150,984892.010,1009283.370,882206.170,838453.700,694316.160,764209.730,786685.354,743418.497,874274.746,806957.860,1055386.343,1068578.948,1082172.625,975433.943,884104.307,897260.895,787273.330,786437.736,798227.781,707089.162,868410.715,866621.736,1118607.259,1182335.646,1182308.675,1120553.525,1022047.796,1035049.364,980926.265,928089.933,979146.706,1005858.776,1023110.228,925590.821,927400.210,1083220.647,1086644.829,1008400.814,935830.013,1053997.499,1017853.072,940338.004,961911.660,894130.490,991668.440,939769.240,1076793.100,1092263.300,1178612.670,1260268.650,1001997.020,1007329.790,901192.810,934538.710,926725.256,885948.430,966311.298,978489.597,1148343.765,1155269.223,1142555.710,1157667.101,994337.862,911142.465,897179.154,957928.163,1010929.883,730170.953,999437.196,968431.086,1239911.761,1214714.529,1218409.383,1243086.758,1163450.103,1176235.173,1070588.546,1013057.297,1022242.998,1024222.307,1084942.059,974294.372,1207634.962,1300654.414,1295898.339,1357951.801,1253782.561,1142112.505,826178.916,910691.977,991904.208,941785.592,1092336.270,1263408.181,1310785.241,1296313.947,1185471.985,1349968.078,1163382.508,1160406.200,1023831.817,1070151.007,1129576.982,983699.950,1150045.543,1324228.796,1383135.688,1471147.955,1470233.614,1470764.704,1415442.279,1321734.946,1202185.715,1189131.251,1112294.224,1129658.769,1198330.109,1208140.905,1359204.237,1464469.622,1459525.903,1558308.450,1373544.814,1190041.818,1153669.755,1221092.220,1198181.537,1191440.038,1181950.870,1345321.884,1510104.234,1468679.801,1487175.523,1429456.556,1407627.862,1399090.966,1239988.302,1200454.226,1184810.367,1052353.971,1324850.593,1277362.979,1315710.851,1255501.164,1331552.822,1125714.301,1135245.608,1128838.937,1188864.985,1100757.055,1132042.050,1059461.189,1237840.646,1153436.744,1203189.833,1378512.508,1415904.330,1382632.855,1406243.709,1380250.824,1154988.622,1154156.878,1273128.129,1268835.748,1336644.939,1405163.532,1610887.768,1524658.309,1526418.015,1559334.079,1290788.856,1283517.302,1107509.408,1110520.437,1266605.296,1160487.735,1290328.414,1233068.699,1238463.091,1677132.201,1810433.963,1922075.713,1693575.633,1459612.440,1117161.108,1080675.918,972732.556,829528.371,1242507.296,1399797.870,1509162.726,1770459.918,1669594.122,1646158.317,1534688.433,1200982.972,1141446.248,1249787.494,1281856.455,1023927.220,1405285.226,1619478.004,1804199.000,1879128.000,1913086.000,1746887.000,1602990.000,1367719.000,1158350.000,1300755.000,1482353.000,1314367.000,1500873.000,1510921.000,1772043.000,1946027.000,2046495.000,2068030.000,1957390.000,1544587.550,1342826.630,1286120.000,1433243.389,1384901.412,1524918.163,1670259.240,1793940.957,1837279.488,1889434.936,1889594.890,1728785.591,1697671.201,1294261.085,1259953.366,1415064.976,1328529.805,1553007.403
